Size of lattice,Number of MC steps,Reduced temperature,Run time (s),Num of cores
50x50, 50, 0.500, 0.235276, 2
50x50, 50, 0.500, 0.153055, 4
50x50, 50, 0.500, 0.371945, 2
50x50, 50, 0.500, 0.128030, 6
50x50, 50, 0.500, 0.247914, 4
50x50, 50, 0.500, 0.118107, 8
50x50, 50, 0.500, 0.111803, 10
50x50, 50, 0.500, 0.220294, 6
50x50, 50, 0.500, 0.242351, 2
50x50, 50, 0.500, 0.104270, 12
50x50, 50, 0.500, 0.146947, 4
50x50, 50, 0.500, 0.201038, 8
50x50, 50, 0.500, 0.132083, 6
50x50, 50, 0.500, 0.097621, 14
50x50, 50, 0.500, 0.116381, 8
50x50, 50, 0.500, 0.206163, 10
50x50, 50, 0.500, 0.098569, 16
50x50, 50, 0.500, 0.109289, 10
50x50, 50, 0.500, 0.091659, 18
50x50, 50, 0.500, 0.194271, 12
50x50, 50, 0.500, 0.103044, 12
50x50, 50, 0.500, 0.094570, 20
50x50, 50, 0.500, 0.099117, 14
50x50, 50, 0.500, 0.177508, 14
50x50, 50, 0.500, 0.099963, 16
50x50, 50, 0.500, 0.093998, 22
50x50, 50, 0.500, 0.197523, 16
50x50, 50, 0.500, 0.093099, 18
50x50, 50, 0.500, 0.094847, 24
50x50, 50, 0.500, 0.092875, 20
50x50, 50, 0.500, 0.173687, 18
50x50, 50, 0.500, 0.087663, 26
50x50, 50, 0.500, 0.093790, 22
50x50, 50, 0.500, 0.089250, 28
50x50, 50, 0.500, 0.174782, 20
50x50, 50, 0.500, 0.134779, 24
50x50, 50, 0.500, 0.088251, 26
50x50, 50, 0.500, 0.178770, 22
50x50, 50, 0.500, 0.088634, 28
50x50, 50, 0.500, 0.182946, 24
50x50, 50, 0.500, 0.197513, 26
50x50, 50, 0.500, 0.280221, 28
