Size of lattice,Number of MC steps,Reduced temperature,Run time (s),Num of cores
50x50, 50, 0.500, 6.565566, 1
50x50, 50, 0.500, 6.563276, 1
50x50, 50, 0.500, 6.471489, 1
50x50, 50, 0.500, 2.055811, 8
50x50, 50, 0.500, 4.148629, 4
50x50, 50, 0.500, 2.220996, 8
50x50, 50, 0.500, 5.311768, 2
50x50, 50, 0.500, 4.198005, 4
50x50, 50, 0.500, 4.339766, 8
50x50, 50, 0.500, 5.132502, 2
50x50, 50, 0.500, 4.129089, 4
50x50, 50, 0.500, 4.961194, 2
50x50, 50, 0.500, 2.466511, 24
50x50, 50, 0.500, 4.441881, 16
50x50, 50, 0.500, 1.973137, 24
50x50, 50, 0.500, 2.201737, 24
50x50, 50, 0.500, 3.911686, 16
50x50, 50, 0.500, 2.004812, 16
50x50, 50, 0.500, 2.163204, 6
50x50, 50, 0.500, 2.234434, 6
50x50, 50, 0.500, 2.140980, 6
50x50, 50, 0.500, 2.035486, 10
50x50, 50, 0.500, 2.084442, 14
50x50, 50, 0.500, 2.105529, 10
50x50, 50, 0.500, 4.385178, 12
50x50, 50, 0.500, 2.025838, 10
50x50, 50, 0.500, 2.349726, 14
50x50, 50, 0.500, 1.967495, 14
50x50, 50, 0.500, 4.528862, 12
50x50, 50, 0.500, 4.666727, 12
50x50, 50, 0.500, 2.212181, 18
50x50, 50, 0.500, 2.197724, 18
50x50, 50, 0.500, 2.142255, 22
50x50, 50, 0.500, 2.005207, 20
50x50, 50, 0.500, 1.939902, 18
50x50, 50, 0.500, 2.159457, 22
50x50, 50, 0.500, 2.522831, 20
50x50, 50, 0.500, 1.954316, 22
50x50, 50, 0.500, 3.913285, 20
50x50, 50, 0.500, 1.934899, 28
50x50, 50, 0.500, 2.078339, 28
50x50, 50, 0.500, 1.909277, 28
