Size of lattice,Number of MC steps,Reduced temperature,Run time (s),Num of cores
50x50, 50, 0.500, 0.467399, 2
50x50, 50, 0.500, 0.082326, 4
50x50, 50, 0.500, 0.082241, 6
50x50, 50, 0.500, 0.080907, 8
50x50, 50, 0.500, 0.081130, 10
50x50, 50, 0.500, 0.081096, 12
50x50, 50, 0.500, 0.080916, 14
50x50, 50, 0.500, 0.080871, 16
50x50, 50, 0.500, 0.081052, 18
50x50, 50, 0.500, 0.081687, 20
50x50, 50, 0.500, 0.081863, 22
50x50, 50, 0.500, 0.081510, 24
50x50, 50, 0.500, 0.081931, 26
50x50, 50, 0.500, 0.082837, 28
50x50, 50, 0.500, 0.340189, 2
50x50, 50, 0.500, 0.084388, 4
50x50, 50, 0.500, 0.082685, 6
50x50, 50, 0.500, 0.081647, 8
50x50, 50, 0.500, 0.080797, 10
50x50, 50, 0.500, 0.081039, 12
50x50, 50, 0.500, 0.080723, 14
50x50, 50, 0.500, 0.080099, 16
50x50, 50, 0.500, 0.082092, 18
50x50, 50, 0.500, 0.082931, 20
50x50, 50, 0.500, 0.082716, 22
50x50, 50, 0.500, 0.082048, 24
50x50, 50, 0.500, 0.082779, 26
50x50, 50, 0.500, 0.082048, 28
50x50, 50, 0.500, 0.432612, 2
50x50, 50, 0.500, 0.100832, 4
50x50, 50, 0.500, 0.101147, 6
50x50, 50, 0.500, 0.100239, 8
50x50, 50, 0.500, 0.093856, 10
50x50, 50, 0.500, 0.083058, 12
50x50, 50, 0.500, 0.082649, 14
50x50, 50, 0.500, 0.082146, 16
50x50, 50, 0.500, 0.085252, 18
50x50, 50, 0.500, 0.087296, 20
50x50, 50, 0.500, 0.092983, 22
50x50, 50, 0.500, 0.086394, 24
50x50, 50, 0.500, 0.086466, 26
50x50, 50, 0.500, 0.087121, 28

10x10, 50, 0.500, 0.008022, 10
20x20, 50, 0.500, 0.017936, 10
50x50, 50, 0.500, 0.079259, 10
100x100, 50, 0.500, 0.287782, 10
200x200, 50, 0.500, 1.139280, 10
500x500, 50, 0.500, 7.156512, 10
