#=====================================================
# File created:        Mon-06-Nov-2023-at-04-39-36PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.300
# Run time (s):        13.740636
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -425.5901  0.2716 
   00001    0.6950    -568.4478  0.2670 
   00002    0.6425    -692.0306  0.2955 
   00003    0.6275    -773.3155  0.2834 
   00004    0.6000    -859.9691  0.2975 
   00005    0.5525    -926.0466  0.2944 
   00006    0.5950    -983.8854  0.2946 
   00007    0.5450   -1049.0378  0.2997 
   00008    0.5325   -1077.6612  0.2943 
   00009    0.4675   -1103.2123  0.3106 
   00010    0.4900   -1128.5436  0.3192 
   00011    0.5500   -1147.2994  0.3223 
   00012    0.5100   -1157.7215  0.3147 
   00013    0.5475   -1160.7155  0.3284 
   00014    0.4875   -1181.2165  0.3272 
   00015    0.4975   -1196.8373  0.3424 
   00016    0.5125   -1214.8561  0.3345 
   00017    0.4800   -1230.7979  0.3462 
   00018    0.5125   -1239.2815  0.3389 
   00019    0.5025   -1258.2588  0.3514 
   00020    0.4875   -1277.7187  0.3525 
   00021    0.5000   -1290.4280  0.3624 
   00022    0.5150   -1306.2490  0.3929 
   00023    0.4700   -1314.9061  0.3989 
   00024    0.5000   -1324.3728  0.4002 
   00025    0.4800   -1336.7493  0.4029 
   00026    0.4650   -1337.8035  0.4024 
   00027    0.5125   -1330.6813  0.4023 
   00028    0.4225   -1330.5927  0.3987 
   00029    0.4500   -1331.5769  0.4019 
   00030    0.4950   -1335.4141  0.4061 
   00031    0.4500   -1339.3220  0.4248 
   00032    0.4850   -1339.5670  0.4259 
   00033    0.4800   -1327.1993  0.4184 
   00034    0.4775   -1338.7536  0.4315 
   00035    0.4725   -1337.9158  0.4242 
   00036    0.4925   -1353.7649  0.4247 
   00037    0.4400   -1344.7682  0.4368 
   00038    0.4750   -1349.3690  0.4454 
   00039    0.4825   -1351.6953  0.4463 
   00040    0.4450   -1359.0721  0.4575 
   00041    0.4350   -1358.6615  0.4638 
   00042    0.4675   -1376.1493  0.4721 
   00043    0.4675   -1376.6607  0.4754 
   00044    0.4850   -1367.1724  0.4854 
   00045    0.4950   -1364.5739  0.5032 
   00046    0.4600   -1373.3965  0.5052 
   00047    0.4875   -1366.0773  0.5064 
   00048    0.4375   -1369.5529  0.5021 
   00049    0.4700   -1372.1335  0.4998 
   00050    0.4925   -1376.2102  0.4896 
   00051    0.4425   -1380.1867  0.5037 
   00052    0.4525   -1373.5666  0.4842 
   00053    0.4925   -1371.3253  0.4946 
   00054    0.4800   -1370.1232  0.4980 
   00055    0.4700   -1363.2311  0.5052 
   00056    0.5050   -1369.6129  0.5142 
   00057    0.4650   -1371.1798  0.5301 
   00058    0.4625   -1368.1617  0.5252 
   00059    0.4800   -1372.0783  0.5250 
   00060    0.4225   -1373.6742  0.5243 
   00061    0.4525   -1380.7856  0.5222 
   00062    0.4625   -1381.9521  0.5256 
   00063    0.4700   -1373.7066  0.5198 
   00064    0.4425   -1380.0889  0.5255 
   00065    0.4175   -1383.0650  0.5204 
   00066    0.4375   -1380.2907  0.5270 
   00067    0.4700   -1381.7336  0.5365 
   00068    0.4225   -1377.4579  0.5472 
   00069    0.4775   -1382.9913  0.5654 
   00070    0.4650   -1373.7536  0.5714 
   00071    0.4675   -1374.1676  0.5817 
   00072    0.4400   -1383.8772  0.5906 
   00073    0.4775   -1387.6522  0.5857 
   00074    0.4575   -1384.2600  0.5834 
   00075    0.5100   -1390.6334  0.5970 
   00076    0.4075   -1383.1011  0.5955 
   00077    0.4850   -1373.7755  0.5816 
   00078    0.4825   -1392.9784  0.5978 
   00079    0.4425   -1392.7737  0.5980 
   00080    0.4975   -1402.7121  0.5970 
   00081    0.4650   -1396.9662  0.5909 
   00082    0.4775   -1382.6643  0.5941 
   00083    0.4375   -1392.8003  0.6081 
   00084    0.4750   -1383.6307  0.6059 
   00085    0.4975   -1377.9159  0.6090 
   00086    0.4450   -1381.7091  0.6082 
   00087    0.4825   -1394.8083  0.6220 
   00088    0.4725   -1391.0759  0.6200 
   00089    0.4925   -1384.9031  0.6253 
   00090    0.4475   -1393.9481  0.6257 
   00091    0.3975   -1391.1979  0.6186 
   00092    0.4750   -1389.7085  0.6236 
   00093    0.4725   -1392.4692  0.6383 
   00094    0.4425   -1396.7132  0.6430 
   00095    0.4800   -1402.9592  0.6499 
   00096    0.4600   -1404.2177  0.6438 
   00097    0.4375   -1414.6683  0.6466 
   00098    0.4825   -1417.5529  0.6532 
   00099    0.4250   -1409.1480  0.6486 
   00100    0.4925   -1407.4342  0.6532 
   00101    0.4575   -1404.9171  0.6518 
   00102    0.4425   -1393.1518  0.6597 
   00103    0.4025   -1405.1637  0.6615 
   00104    0.4725   -1403.3350  0.6627 
   00105    0.4550   -1388.1792  0.6695 
   00106    0.4775   -1393.3230  0.6731 
   00107    0.4975   -1395.7650  0.6815 
   00108    0.4600   -1382.9718  0.6843 
   00109    0.4600   -1394.4915  0.6930 
   00110    0.4300   -1397.2388  0.7057 
   00111    0.4775   -1391.8433  0.7176 
   00112    0.4675   -1396.7251  0.7164 
   00113    0.4775   -1406.4442  0.7175 
   00114    0.4725   -1416.4191  0.7239 
   00115    0.4375   -1427.8952  0.7295 
   00116    0.4050   -1439.9138  0.7349 
   00117    0.4575   -1432.9192  0.7362 
   00118    0.4525   -1428.7481  0.7353 
   00119    0.4175   -1423.4773  0.7482 
   00120    0.4400   -1415.7385  0.7344 
   00121    0.4250   -1427.3469  0.7291 
   00122    0.4575   -1422.2954  0.7261 
   00123    0.4550   -1407.8886  0.7161 
   00124    0.4525   -1412.6568  0.7213 
   00125    0.4700   -1421.6540  0.7267 
   00126    0.4650   -1419.1403  0.7295 
   00127    0.4825   -1433.1233  0.7341 
   00128    0.4300   -1436.1671  0.7294 
   00129    0.4300   -1437.2869  0.7209 
   00130    0.4625   -1436.9332  0.7258 
   00131    0.4575   -1428.5154  0.7230 
   00132    0.4750   -1423.6351  0.7293 
   00133    0.4950   -1420.0079  0.7219 
   00134    0.4225   -1424.0132  0.7190 
   00135    0.4925   -1438.5671  0.7270 
   00136    0.4550   -1432.2138  0.7251 
   00137    0.4400   -1428.8474  0.7187 
   00138    0.4600   -1432.2232  0.7325 
   00139    0.4775   -1442.8842  0.7298 
   00140    0.4025   -1440.0376  0.7351 
   00141    0.4875   -1450.9932  0.7415 
   00142    0.4250   -1453.1018  0.7502 
   00143    0.4525   -1454.5825  0.7471 
   00144    0.4650   -1452.3446  0.7419 
   00145    0.4025   -1451.9204  0.7457 
   00146    0.4875   -1458.2691  0.7500 
   00147    0.4325   -1458.9640  0.7562 
   00148    0.4775   -1462.5899  0.7666 
   00149    0.4500   -1451.0592  0.7681 
   00150    0.4425   -1455.4768  0.7646 
   00151    0.4500   -1451.3938  0.7732 
   00152    0.4175   -1456.9808  0.7796 
   00153    0.4250   -1459.7879  0.7808 
   00154    0.4575   -1455.8564  0.7899 
   00155    0.4375   -1452.7730  0.7896 
   00156    0.4475   -1458.6621  0.7913 
   00157    0.4200   -1457.3404  0.8015 
   00158    0.4925   -1446.8322  0.8048 
   00159    0.4375   -1452.7594  0.8146 
   00160    0.4475   -1457.7313  0.8203 
   00161    0.4725   -1464.5044  0.8313 
   00162    0.4250   -1461.3577  0.8310 
   00163    0.4275   -1457.8559  0.8396 
   00164    0.4250   -1465.8828  0.8403 
   00165    0.4600   -1466.0104  0.8398 
   00166    0.4675   -1461.1728  0.8283 
   00167    0.4500   -1467.0374  0.8337 
   00168    0.4425   -1468.1543  0.8389 
   00169    0.4600   -1472.9200  0.8392 
   00170    0.4700   -1476.3838  0.8457 
   00171    0.4350   -1474.9163  0.8468 
   00172    0.4400   -1462.0975  0.8424 
   00173    0.4750   -1464.1577  0.8428 
   00174    0.4325   -1462.3443  0.8382 
   00175    0.4550   -1471.6600  0.8411 
   00176    0.4025   -1471.9528  0.8412 
   00177    0.4350   -1462.2868  0.8329 
   00178    0.4275   -1473.9154  0.8288 
   00179    0.4350   -1469.8769  0.8354 
   00180    0.4625   -1455.3643  0.8252 
   00181    0.4225   -1453.3898  0.8182 
   00182    0.4400   -1462.2321  0.8224 
   00183    0.4225   -1466.2340  0.8184 
   00184    0.4225   -1466.1167  0.8176 
   00185    0.4725   -1466.3272  0.8229 
   00186    0.4275   -1472.7563  0.8273 
   00187    0.4375   -1472.8932  0.8250 
   00188    0.4600   -1465.7743  0.8195 
   00189    0.4375   -1467.5584  0.8154 
   00190    0.4125   -1466.7839  0.8133 
   00191    0.4500   -1468.9345  0.8137 
   00192    0.4025   -1474.1538  0.8140 
   00193    0.4300   -1472.5254  0.8077 
   00194    0.4800   -1477.8919  0.8075 
   00195    0.4450   -1473.6705  0.8026 
   00196    0.4750   -1469.4091  0.8049 
   00197    0.4900   -1462.1340  0.8006 
   00198    0.4525   -1463.9048  0.8009 
   00199    0.4475   -1460.3460  0.8035 
   00200    0.4150   -1459.4252  0.8094 
   00201    0.4375   -1447.3818  0.8012 
   00202    0.4275   -1462.3275  0.8004 
   00203    0.4450   -1466.2465  0.8068 
   00204    0.4825   -1469.5219  0.8089 
   00205    0.4475   -1472.7685  0.8171 
   00206    0.4025   -1464.2011  0.8188 
   00207    0.4575   -1464.4300  0.8269 
   00208    0.4250   -1459.5886  0.8280 
   00209    0.4675   -1457.5197  0.8367 
   00210    0.4550   -1461.5058  0.8409 
   00211    0.4525   -1462.0581  0.8434 
   00212    0.4175   -1467.7695  0.8478 
   00213    0.4225   -1461.3782  0.8478 
   00214    0.4300   -1465.7062  0.8522 
   00215    0.4575   -1473.8020  0.8553 
   00216    0.4525   -1473.2340  0.8502 
   00217    0.4650   -1473.2552  0.8491 
   00218    0.4825   -1473.4851  0.8422 
   00219    0.4000   -1473.9167  0.8477 
   00220    0.4450   -1479.6813  0.8515 
   00221    0.4625   -1481.8814  0.8446 
   00222    0.4750   -1473.3484  0.8455 
   00223    0.4525   -1475.7126  0.8549 
   00224    0.4425   -1476.4689  0.8530 
   00225    0.4100   -1475.8918  0.8541 
   00226    0.3900   -1480.5998  0.8640 
   00227    0.4250   -1481.3825  0.8639 
   00228    0.4750   -1477.3819  0.8522 
   00229    0.4675   -1468.5120  0.8536 
   00230    0.4275   -1464.1917  0.8447 
   00231    0.4900   -1467.3130  0.8398 
   00232    0.4575   -1459.9482  0.8423 
   00233    0.4475   -1456.4268  0.8402 
   00234    0.4800   -1453.8235  0.8461 
   00235    0.4650   -1449.5499  0.8503 
   00236    0.4075   -1455.3656  0.8582 
   00237    0.4600   -1462.9696  0.8639 
   00238    0.4350   -1470.7698  0.8746 
   00239    0.4425   -1469.6954  0.8685 
   00240    0.4550   -1473.9499  0.8779 
   00241    0.4100   -1469.2890  0.8805 
   00242    0.4600   -1464.6836  0.8859 
   00243    0.4250   -1470.4627  0.8855 
   00244    0.4675   -1468.4043  0.8953 
   00245    0.4550   -1473.8072  0.9003 
   00246    0.4575   -1469.9984  0.8992 
   00247    0.4475   -1468.5017  0.8939 
   00248    0.4200   -1461.1407  0.8848 
   00249    0.4425   -1463.5005  0.8964 
   00250    0.4475   -1463.5671  0.9014 
   00251    0.4300   -1456.4064  0.9091 
   00252    0.4075   -1463.4162  0.9104 
   00253    0.4600   -1462.6235  0.9061 
   00254    0.4550   -1472.0727  0.9077 
   00255    0.4750   -1477.3009  0.9110 
   00256    0.4425   -1474.1854  0.9057 
   00257    0.4400   -1475.8084  0.9089 
   00258    0.4275   -1479.7511  0.9111 
   00259    0.4100   -1492.5547  0.9129 
   00260    0.4225   -1477.6347  0.9084 
   00261    0.4150   -1488.3730  0.9173 
   00262    0.4325   -1490.9106  0.9177 
   00263    0.4625   -1481.4015  0.9113 
   00264    0.4325   -1481.9494  0.9164 
   00265    0.4500   -1479.8776  0.9198 
   00266    0.4275   -1485.5647  0.9241 
   00267    0.4050   -1484.9022  0.9190 
   00268    0.4500   -1475.7842  0.9116 
   00269    0.4600   -1472.3783  0.9126 
   00270    0.4050   -1464.9714  0.9094 
   00271    0.4375   -1470.6765  0.9111 
   00272    0.4250   -1466.4061  0.9133 
   00273    0.4400   -1485.8891  0.9210 
   00274    0.5000   -1481.2938  0.9175 
   00275    0.4450   -1485.9318  0.9267 
   00276    0.4850   -1485.6096  0.9335 
   00277    0.4275   -1480.4569  0.9312 
   00278    0.4625   -1483.1353  0.9316 
   00279    0.4800   -1482.0499  0.9266 
   00280    0.3950   -1479.9974  0.9308 
   00281    0.4525   -1475.1563  0.9308 
   00282    0.4125   -1474.5504  0.9345 
   00283    0.4075   -1483.0072  0.9369 
   00284    0.4400   -1479.1005  0.9312 
   00285    0.4250   -1475.8354  0.9261 
   00286    0.4400   -1477.5697  0.9303 
   00287    0.4400   -1483.4879  0.9314 
   00288    0.4575   -1487.5319  0.9344 
